lng,Arabic ,English 
ar,كرستينا، كريستينا,Christina
ar,آمبر، امبر,Amber
ar,ميلا، مايلا,Myla
ar,اديلين، ادلين,Addilyn
ar,ارين، ارن,Erin
ar,اليسون، السون,Alison
ar,انيسلي، انسلي,Ainsley
ar,رايلن، ريلن,Raelyn
ar,كادينس، كدنس,Cadence
ar,كندرا، كيندرا,Kendra
ar,كيلسي، كلسي,Kelsey
ar,ناديا، نادية,Nadia
ar,الوندرا، الندرا,Alondra
ar,كايدينس، كايدنس,Kaydence
ar,ميكايلا، ميكيلا,Mikayla
ar,هيفين، هيفن,Heaven
ar,لانا، لانة,Lana
ar,بلاكلي، بلاكيلي,Blakely
